,filename,cell_type,xmin,xmax,ymin,ymax
0,image0angle0.txt,1,0.701563,0.236719,0.3375,0.457812
1,image1002angle180.txt,8,0.889844,0.925,0.220313,0.15
2,image1006.txt,4,0.66875,0.860156,0.6625,0.279687
3,image1008angle90.txt,8,0.127344,0.771875,0.248437,0.39375
4,image100angle0.txt,0,0.475781,0.896094,0.223438,0.207813
5,image1010angle270.txt,8,0.114844,0.783594,0.226562,0.379687
6,image1015angle0.txt,1,0.592969,0.900781,0.0953125,0.198437
7,image1015angle270.txt,0,0.2125,0.777344,0.290625,0.323438
8,image1015angle90.txt,8,0.7,0.759375,0.425,0.48125
9,image1015angle90.txt,8,0.364062,0.678906,0.08125,0.110937
10,image1016angle0.txt,4,0.342969,0.864844,0.685938,0.270312
11,image1018.txt,8,0.5375,0.5625,0.090625,0.096875
12,image1018angle270.txt,4,0.0765625,0.535156,0.15,0.142188
13,image1020.txt,4,0.428125,0.861719,0.78125,0.276563
14,image1021angle0.txt,8,0.826563,0.76875,0.346875,0.43125
15,image1021angle180.txt,8,0.810156,0.763281,0.379687,0.467187
16,image1026angle0.txt,0,0.892187,0.820312,0.209375,0.290625
17,image1027.txt,8,0.785937,0.74375,0.409375,0.403125
18,image1027angle180.txt,4,0.848437,0.710156,0.20625,0.229687
19,image1027angle270.txt,0,0.217969,0.798437,0.307813,0.390625
20,image1029angle90.txt,4,0.432031,0.834375,0.864062,0.33125
21,image102angle0.txt,8,0.1625,0.909375,0.159375,0.18125
22,image1030angle270.txt,8,0.870313,0.792188,0.259375,0.35625
23,image1030angle270.txt,8,0.729688,0.904688,0.1875,0.190625
24,image1030angle90.txt,8,0.128906,0.860156,0.192188,0.254687
25,image1034angle0.txt,8,0.139062,0.870313,0.278125,0.253125
26,image1035angle0.txt,4,0.342187,0.832812,0.684375,0.334375
27,image1035angle180.txt,4,0.24375,0.79375,0.4875,0.39375
28,image1038angle180.txt,4,0.892187,0.810938,0.215625,0.365625
29,image1038angle270.txt,4,0.472656,0.863281,0.945312,0.273438
30,image1039angle180.txt,0,0.0851562,0.821875,0.154687,0.321875
31,image103angle180.txt,8,0.153906,0.316406,0.295312,0.339063
32,image103angle90.txt,0,0.341406,0.778906,0.110937,0.235938
33,image104.txt,8,0.253906,0.578906,0.0453125,0.0953125
34,image1040angle0.txt,4,0.88125,0.849219,0.2375,0.301562
35,image1040angle0.txt,1,0.385938,0.790625,0.203125,0.41875
36,image1040angle180.txt,4,0.125781,0.848437,0.251563,0.290625
37,image1040angle180.txt,1,0.635938,0.83125,0.234375,0.3375
38,image1041.txt,0,0.701563,0.81875,0.259375,0.3625
39,image1046angle180.txt,4,0.860937,0.882812,0.278125,0.228125
40,image1046angle270.txt,4,0.832812,0.850781,0.334375,0.298438
41,image1049.txt,4,0.886719,0.857813,0.226562,0.278125
42,image1050angle270.txt,4,0.678125,0.85625,0.64375,0.2875
43,image1052angle180.txt,4,0.21875,0.899219,0.25,0.201562
44,image1053angle0.txt,4,0.340625,0.879687,0.68125,0.240625
45,image1053angle90.txt,0,0.755469,0.8375,0.214062,0.325
46,image1055.txt,8,0.867969,0.801562,0.264062,0.384375
47,image1055angle0.txt,8,0.870313,0.909375,0.253125,0.175
48,image1056.txt,8,0.795313,0.771875,0.271875,0.45
49,image1058angle90.txt,4,0.125,0.825781,0.24375,0.320312
50,image105angle0.txt,4,0.733594,0.839063,0.532812,0.29375
51,image105angle90.txt,4,0.3,0.840625,0.6,0.30625
52,image1064angle0.txt,6,0.800781,0.921875,0.307813,0.15
53,image1065angle0.txt,4,0.575781,0.884375,0.782812,0.23125
54,image1068angle270.txt,0,0.815625,0.880469,0.1375,0.239063
55,image1068angle90.txt,1,0.6125,0.778125,0.14375,0.44375
56,image106angle180.txt,4,0.917188,0.867188,0.165625,0.265625
57,image1070angle180.txt,7,0.875,0.9125,0.25,0.175
58,image1075angle180.txt,8,0.374219,0.917188,0.160938,0.1625
59,image1076angle0.txt,8,0.390625,0.71875,0.10625,0.14375
60,image1077angle270.txt,0,0.6375,0.821094,0.184375,0.357812
61,image1077angle90.txt,4,0.878906,0.828125,0.242188,0.33125
62,image1079angle270.txt,4,0.467187,0.878125,0.934375,0.24375
63,image1080angle270.txt,4,0.14375,0.8625,0.28125,0.26875
64,image1081angle0.txt,4,0.786719,0.839063,0.395312,0.321875
65,image1081angle270.txt,4,0.475,0.832031,0.95,0.335938
66,image1081angle90.txt,4,0.471875,0.854688,0.94375,0.290625
67,image1085.txt,4,0.527344,0.8375,0.945312,0.215625
68,image1087angle270.txt,8,0.13125,0.775781,0.25625,0.354688
69,image1089.txt,1,0.882812,0.795313,0.234375,0.359375
70,image1091.txt,4,0.717188,0.859375,0.565625,0.28125
71,image1092angle180.txt,0,0.103125,0.810938,0.16875,0.303125
72,image1092angle90.txt,0,0.465625,0.959375,0.1125,0.08125
73,image1092angle90.txt,0,0.661719,0.904688,0.107813,0.121875
