,id,lng,lat,max_vis,avg_daily_view,3cluster,height
0,26144,-8.473975,40.900768,69,31.0,0,239.2415771484375
1,11714,-9.315949,38.958125,69,31.0,1,235.5277709960938
2,26109,-8.510079,40.871821,69,32.0,0,242.4690551757812
3,32555,-8.479751,40.837695,69,32.0,0,199.5950164794922
4,5291,-8.42987,40.268692,69,32.0,0,54.8232421875
5,22437,-8.414758,41.045215,69,33.0,0,90.72244262695312
6,46607,-8.749668,41.368876,86,34.0,0,21.46352958679199
7,1818,-9.146613,38.6878,69,34.0,1,0.7486023902893066
8,30411,-8.655476,41.200398,69,34.0,0,70.15913391113281
9,34634,-9.143221,38.710728,63,34.0,1,42.31258392333984
10,6735,-8.32592,41.501022,69,35.0,0,128.6184234619141
11,4660,-9.420993,38.702024,69,35.0,1,8.561958312988281
12,29946,-7.332339,40.757814,145,35.0,0,748.0628051757812
13,26319,-9.216405,38.780154,69,35.0,1,91.22396850585938
14,26317,-9.216424,38.780164,69,36.0,1,91.32691192626953
15,20763,-7.914865,40.679457,69,36.0,0,479.4650268554688
16,29615,-7.760934,40.606569,145,36.0,0,530.6112060546875
17,31707,-8.673731,41.179162,69,36.0,0,39.92454147338867
18,1731,-9.201572,38.656493,69,37.0,1,89.57034301757812
19,27178,-9.322304,38.830235,69,37.0,1,162.6654815673828
20,5262,-8.441194,40.266904,69,37.0,0,19.61371040344238
21,6825,-8.669985,37.091352,69,37.0,2,18.47451591491699
22,1052,-8.203688,39.462952,69,38.0,1,176.9561767578125
23,20802,-7.888201,40.652584,69,38.0,0,501.189697265625
24,5433,-8.432738,40.214686,69,38.0,0,36.91704940795898
25,20762,-7.91486,40.679455,69,39.0,0,479.4307861328125
26,1040,-8.213911,39.464467,69,39.0,1,126.5469436645508
27,22373,-8.466789,41.10225,69,39.0,0,50.67359924316406
28,20803,-7.888204,40.652585,69,39.0,0,501.1997680664062
29,20632,-8.120487,37.103874,69,40.0,2,20.36970710754395
30,19395,-8.507751,40.893957,78,41.0,0,243.4403991699219
31,22396,-8.401862,41.071821,69,41.0,0,42.52016067504883
32,28431,-8.487928,41.067437,69,41.0,0,70.21180725097656
33,26689,-8.328021,41.309635,69,42.0,0,360.2918701171875
34,6666,-8.316225,41.487706,69,42.0,0,159.7264709472656
35,5274,-8.445206,40.267352,69,43.0,0,24.2169132232666
36,49291,-9.204441,38.710662,71,43.0,1,116.5485916137695
37,29945,-7.354813,40.78343,145,44.0,0,840.7267456054688
38,5292,-8.429831,40.268714,69,44.0,0,54.88013458251953
39,20805,-7.88271,40.655335,69,44.0,0,504.9911499023438
40,30412,-8.655484,41.200373,69,44.0,0,70.23770904541016
41,26705,-8.381993,41.304893,69,45.0,0,322.5004577636719
42,5180,-8.393765,40.246222,69,45.0,0,83.46491241455078
43,28435,-8.465077,41.059915,69,45.0,0,99.45329284667969
44,22184,-8.630126,40.99383,69,45.0,0,36.17089080810547
45,49309,-8.563193,41.262958,88,46.0,0,100.8615951538086
46,21613,-9.217723,38.758999,69,46.0,1,90.39000701904297
47,27644,-8.462147,41.007643,69,48.0,0,216.3593597412109
48,26642,-8.368324,41.052162,69,48.0,0,32.64788436889648
49,1822,-9.146721,38.687737,69,48.0,1,0.9907891750335693
50,5222,-8.421954,40.180012,69,48.0,0,28.18979644775391
51,22382,-8.454256,41.071586,69,48.0,0,79.42057037353516
52,29880,-8.50182,40.514612,145,48.0,0,31.79684448242188
53,5233,-8.452552,40.281902,69,49.0,0,91.64788818359375
54,29924,-7.825597,40.351855,145,49.0,0,572.3992309570312
55,26592,-8.364446,41.050999,69,49.0,0,49.1263427734375
56,31474,-9.102085,38.609508,69,50.0,1,27.25995826721191
57,26074,-8.479952,40.837707,69,51.0,0,198.5478820800781
58,26591,-8.368734,41.052294,69,51.0,0,29.52729606628418
59,26589,-8.24351,41.158512,69,51.0,0,264.4204406738281
60,31475,-9.102085,38.609508,69,51.0,1,27.25995826721191
61,22754,-8.400497,41.065089,69,51.0,0,29.15860557556152
62,6285,-8.848601,40.148077,69,51.0,0,3.267187356948853
63,1116,-7.966192,37.021335,69,51.0,2,7.234175205230713
64,20804,-7.882711,40.655332,69,52.0,0,504.9752197265625
65,27655,-8.511581,40.929228,69,52.0,0,222.8454284667969
66,30414,-8.655557,41.200145,69,52.0,0,70.97483825683594
