,id,lng,lat,max_vis,avg_daily_view,3cluster,height,closest_dist,closest_lat,closest_lng,closest_id_list
0,26144,-8.473975,40.900768,69,31.0,0,239.2415771484375,0.004110903793570867,40.899207000000004,-8.477778,[26144]
1,11714,-9.315949,38.958125,69,31.0,1,235.52777099609384,0.002768065208771286,38.956449,-9.318152,[11714]
2,26109,-8.510079,40.871821000000004,69,32.0,0,242.46905517578116,0.0007834162367526423,40.871131,-8.509708,[26109 26110]
3,32555,-8.479751,40.837695000000004,69,32.0,0,199.5950164794922,0.00019942417105255308,40.837708,-8.47995,[32555]
4,5291,-8.42987,40.268692,69,32.0,0,54.8232421875,4.4777226354447245e-05,40.268714,-8.429831,[5291]
5,22437,-8.414758,41.045215,69,33.0,0,90.72244262695312,0.0024347084014295648,41.042794,-8.4145,[22437]
6,46607,-8.749668,41.368876,86,34.0,0,21.46352958679199,2.9999999995311555e-06,41.368876,-8.749665,[46607]
7,1818,-9.146613,38.6878,69,34.0,1,0.7486023902893066,0.00012503199590801228,38.687737,-9.146721000000001,[1818]
8,30411,-8.655476,41.200398,69,34.0,0,70.15913391113281,2.6248809497403222e-05,41.200373,-8.655484,[30411]
9,34634,-9.143221,38.710728,63,34.0,1,42.312583923339844,0.0005653635998139589,38.711172,-9.142871000000001,[34634 34633]
10,6735,-8.32592,41.501022,69,35.0,0,128.6184234619141,0.0053951997182681505,41.49901,-8.330926,[6735]
11,4660,-9.420993,38.702024,69,35.0,1,8.561958312988281,2.0000000020559128e-06,38.702026000000004,-9.420993,[4660]
12,29946,-7.332339,40.757814,145,35.0,0,748.0628051757812,0.0017759870494988073,40.758661,-7.3339,[29946]
13,26319,-9.216405,38.780153999999996,69,35.0,1,91.22396850585938,2.1470910555054485e-05,38.780164,-9.216424,[26319]
14,26317,-9.216424,38.780164,69,36.0,1,91.32691192626952,2.1470910555054485e-05,38.780153999999996,-9.216405,[26317]
15,20763,-7.914865,40.679457,69,36.0,0,479.4650268554688,5.3851648068976476e-06,40.679455,-7.914860000000001,[20763]
16,29615,-7.760934,40.606569,145,36.0,0,530.6112060546875,0.00988741907678454,40.596949,-7.75865,[29615]
17,31707,-8.673731,41.179162,69,36.0,0,39.92454147338867,3.605551269316884e-06,41.179159000000006,-8.673733,[31707]
18,1731,-9.201572,38.656493,69,37.0,1,89.57034301757812,0.0003927200020371854,38.656383,-9.201195,[1731 1730]
19,27178,-9.322303999999999,38.830234999999995,69,37.0,1,162.6654815673828,0.001854634465338108,38.831972,-9.322954,[27178]
20,5262,-8.441194,40.266904,69,37.0,0,19.61371040344238,2.0000000020559128e-06,40.266906,-8.441194,[5262]
21,6825,-8.669985,37.091352,69,37.0,2,18.47451591491699,0.003828934577661066,37.094568,-8.672063,[6825]
22,1052,-8.203688,39.462952,69,38.0,1,176.9561767578125,0.001580355972555196,39.461614000000004,-8.204528999999999,[1052]
23,20802,-7.888201,40.652584000000004,69,38.0,0,501.189697265625,3.1622776566782625e-06,40.652584999999995,-7.888203999999999,[20802]
24,5433,-8.432738,40.214686,69,38.0,0,36.91704940795898,6.826419266404234e-05,40.21468,-8.43267,[5433 5434]
25,20762,-7.914860000000001,40.679455,69,39.0,0,479.4307861328125,5.3851648068976476e-06,40.679457,-7.914865,[20762]
26,1040,-8.213911,39.464467,69,39.0,1,126.5469436645508,0.000520355647607213,39.464915999999995,-8.214174,[1040]
27,22373,-8.466789,41.10225,69,39.0,0,50.67359924316406,0.008861463366738384,41.105893,-8.458711,[22373 22372]
28,20803,-7.888203999999999,40.652584999999995,69,39.0,0,501.1997680664062,3.1622776566782625e-06,40.652584000000004,-7.888201,[20803]
29,20632,-8.120486999999999,37.103874,69,40.0,2,20.36970710754395,1.414213565082919e-06,37.103875,-8.120486,[20632]
30,19395,-8.507750999999999,40.893957,78,41.0,0,243.4403991699219,0.0035713260842485444,40.897028000000006,-8.505927999999999,[19395]
31,22396,-8.401862,41.071821,69,41.0,0,42.52016067504883,0.0010725954503008328,41.070935999999996,-8.401256,[22396 22395]
32,28431,-8.487928,41.067437,69,41.0,0,70.21180725097656,0.0005993880212349569,41.067282,-8.487349,[28431]
33,26689,-8.328021000000001,41.309635,69,42.0,0,360.2918701171875,0.00032400771595353275,41.309369000000004,-8.328206,[26689]
34,6666,-8.316225,41.487706,69,42.0,0,159.7264709472656,4.5398237850391165e-05,41.4877,-8.316180000000001,[6666]
35,5274,-8.445205999999999,40.267352,69,43.0,0,24.2169132232666,2.884441020330967e-05,40.267336,-8.445182,[5274]
