,id,lng,lat,max_vis,avg_daily_view,height,closest_dist,closest_lat,closest_lng,id_list
0,26144,-8.473975,40.900768,69,31.0,239.2415771484375,0.004110903793570867,40.899207,-8.477778,[19394]
1,11714,-9.315949,38.958125,69,31.0,235.52777099609384,0.002768065208771286,38.956449,-9.318152,[11717]
2,26109,-8.510079,40.871821,69,32.0,242.46905517578116,0.0007834162367526423,40.871131,-8.509708,[26108]
3,32555,-8.479751,40.837695,69,32.0,199.5950164794922,0.00019942417105255308,40.837708,-8.47995,[26073]
4,5291,-8.42987,40.268692,69,32.0,54.8232421875,4.4777226354447245e-05,40.268714,-8.429831,[5292]
5,22437,-8.414758,41.045215,69,33.0,90.72244262695312,0.0024347084014295648,41.042794,-8.4145,[22469 22468]
6,46607,-8.749668,41.368876,86,34.0,21.46352958679199,2.999999999531156e-06,41.368876,-8.749665,[46606]
7,1818,-9.146613,38.6878,69,34.0,0.7486023902893066,0.00012503199590801228,38.687737,-9.146721,[1822]
8,30411,-8.655476,41.200398,69,34.0,70.15913391113281,2.6248809497403225e-05,41.200373,-8.655484,[30412]
9,34634,-9.143221,38.710728,63,34.0,42.312583923339844,0.0005653635998139589,38.711172,-9.142871,[7491]
10,6735,-8.32592,41.501022,69,35.0,128.6184234619141,0.0053951997182681505,41.49901,-8.330926,[6538]
11,4660,-9.420993,38.702024,69,35.0,8.561958312988281,2.0000000020559128e-06,38.702026,-9.420993,[4659]
12,29946,-7.332339,40.757814,145,35.0,748.0628051757812,0.0017759870494988073,40.758661,-7.3339,[30018]
13,26319,-9.216405,38.780154,69,35.0,91.22396850585938,2.1470910555054485e-05,38.780164,-9.216424,[26317]
14,26317,-9.216424,38.780164,69,36.0,91.32691192626952,2.1470910555054485e-05,38.780154,-9.216405,[26319]
15,20763,-7.914865,40.679457,69,36.0,479.4650268554688,5.3851648068976476e-06,40.679455,-7.914860000000001,[20762]
16,29615,-7.760934,40.606569,145,36.0,530.6112060546875,0.00988741907678454,40.596949,-7.75865,[29617]
17,31707,-8.673731,41.179162,69,36.0,39.92454147338867,3.605551269316884e-06,41.17915900000001,-8.673733,[31708]
18,1731,-9.201572,38.656493,69,37.0,89.57034301757812,0.00039272000203718536,38.656383,-9.201195,[1734]
19,27178,-9.322304,38.830235,69,37.0,162.6654815673828,0.0018546344653381079,38.831972,-9.322954,[27161]
20,5262,-8.441194,40.266904,69,37.0,19.61371040344238,2.0000000020559128e-06,40.266906,-8.441194,[5263]
21,6825,-8.669985,37.091352,69,37.0,18.47451591491699,0.0038289345776610657,37.094568,-8.672063,[6828]
22,1052,-8.203688,39.462952,69,38.0,176.9561767578125,0.0015803559725551962,39.461614,-8.204528999999999,[1049]
23,20802,-7.888201,40.652584,69,38.0,501.189697265625,3.1622776566782625e-06,40.652585,-7.888203999999999,[20803]
24,5433,-8.432738,40.214686,69,38.0,36.91704940795898,6.826419266404234e-05,40.21468,-8.43267,[5431]
25,20762,-7.914860000000001,40.679455,69,39.0,479.4307861328125,5.3851648068976476e-06,40.679457,-7.914865,[20763]
26,1040,-8.213911,39.464467,69,39.0,126.5469436645508,0.000520355647607213,39.464916,-8.214174,[1042]
27,22373,-8.466789,41.10225,69,39.0,50.67359924316406,0.008861463366738384,41.105893,-8.458711,[22337]
28,20803,-7.888203999999999,40.652585,69,39.0,501.1997680664062,3.1622776566782625e-06,40.652584,-7.888201,[20802]
29,20632,-8.120486999999999,37.103874,69,40.0,20.36970710754395,1.4142135650829191e-06,37.103875,-8.120486,[20633]
30,19395,-8.507750999999999,40.893957,78,41.0,243.4403991699219,0.0035713260842485444,40.89702800000001,-8.505927999999999,[49137]
31,22396,-8.401862,41.071821,69,41.0,42.52016067504883,0.0010725954503008328,41.070936,-8.401256,[22446 22447]
32,28431,-8.487928,41.067437,69,41.0,70.21180725097656,0.0005993880212349568,41.067282,-8.487349,[28678]
33,26689,-8.328021000000001,41.309635,69,42.0,360.2918701171875,0.00032400771595353275,41.309369,-8.328206,[26756]
34,6666,-8.316225,41.487706,69,42.0,159.7264709472656,4.5398237850391165e-05,41.4877,-8.316180000000001,[6667]
35,5274,-8.445205999999999,40.267352,69,43.0,24.2169132232666,2.8844410203309668e-05,40.267336,-8.445182,[5275]
36,49291,-9.204441,38.710662,71,43.0,116.54859161376949,0.00011294689017607006,38.710556,-9.20448,[49290]
37,29945,-7.354813,40.78343,145,44.0,840.7267456054688,0.032416923512263864,40.758661,-7.3339,[30018]
38,5292,-8.429831,40.268714,69,44.0,54.88013458251953,4.4777226354447245e-05,40.268692,-8.42987,[5291]
39,20805,-7.88271,40.655335,69,44.0,504.9911499023438,3.162277659767796e-06,40.655332,-7.882711,[20804]
40,30412,-8.655484,41.200373,69,44.0,70.23770904541016,2.6248809497403225e-05,41.200398,-8.655476,[30411]
41,26705,-8.381993,41.304893,69,45.0,322.5004577636719,1.456021977791222e-05,41.304897,-8.381979,[26704]
42,5180,-8.393765,40.246222,69,45.0,83.46491241455078,0.012127094664428984,40.240931,-8.404677000000001,[5298]
43,28435,-8.465077,41.059915,69,45.0,99.45329284667969,1.4142135663389928e-06,41.059914,-8.465076,[28436]
44,22184,-8.630125999999999,40.99383,69,45.0,36.17089080810547,2.2022715553906773e-05,40.993852,-8.630125,[22185]
45,49309,-8.563193,41.26295800000001,88,46.0,100.8615951538086,0.002126434809721715,41.264633,-8.564503,[49310]
46,21613,-9.217723,38.758999,69,46.0,90.39000701904295,4.1231056272710545e-06,38.759,-9.217727,[21612]
47,27644,-8.462147,41.007643,69,48.0,216.3593597412109,0.0007326834241313153,41.008311,-8.462448,[27562]
48,26642,-8.368324000000001,41.052162,69,48.0,32.64788436889648,0.000430724970252604,41.052294,-8.368734,[26591]
49,1822,-9.146721,38.687737,69,48.0,0.9907891750335692,0.00012503199590801228,38.6878,-9.146613,[1818]
50,5222,-8.421954,40.180012,69,48.0,28.18979644775391,2.0000000020559128e-06,40.180014,-8.421954,[5223]
51,22382,-8.454255999999999,41.071586,69,48.0,79.42057037353516,9.34344690114748e-05,41.07157700000001,-8.454163000000001,[22386]
52,29880,-8.50182,40.514612,145,48.0,31.79684448242188,0.004665705198576893,40.519246,-8.501277,[29637]
53,5233,-8.452552,40.281902,69,49.0,91.64788818359376,0.00015259095648011855,40.28193,-8.452402000000001,[5232]
54,29924,-7.825597,40.351855,145,49.0,572.3992309570312,0.027956786260226477,40.35070200000001,-7.85353,[29923]
55,26592,-8.364446000000001,41.050999,69,49.0,49.1263427734375,7.280109891640124e-06,41.050997,-8.364438999999999,[26593]
56,31474,-9.102085,38.609508,69,50.0,27.25995826721191,2.416609194806782e-05,38.609518,-9.102107,[31476]
57,26074,-8.479952,40.837707,69,51.0,198.5478820800781,2.2360679766207264e-06,40.837708,-8.47995,[26073]
58,26591,-8.368734,41.052294,69,51.0,29.52729606628418,8.544003742041797e-06,41.052297,-8.368742,[26590]
59,26589,-8.24351,41.158512,69,51.0,264.42044067382807,9.433981131963066e-06,41.158504,-8.243514999999999,[26588]
