,id_x,cluster_conti_x,lat_x,lng_x,closest_lat,closest_lng,id_y,cluster_conti_y,max_vis,avg_daily_view,lat_final,lng_final,cluster_final
0,26144,0,40.900768,-8.473975,40.899207000000004,-8.477778,19394,0,78,370.0,40.900768,-8.473975,0
1,11714,0,38.958125,-9.315949,38.956449,-9.318152,11717,0,69,878.0,38.958125,-9.315949,0
2,26109,0,40.871821000000004,-8.510079,40.871131,-8.509708,26108,0,69,100.0,40.871821000000004,-8.510079,0
3,32555,0,40.837695000000004,-8.479751,40.837708,-8.47995,26073,0,69,54.0,40.837695000000004,-8.479751,0
4,5291,0,40.268692,-8.42987,40.268714,-8.429831,5292,0,69,44.0,40.268692,-8.42987,0
5,22437,0,41.045215,-8.414758,41.042794,-8.4145,22469,0,69,97.0,41.045215,-8.414758,0
6,22437,0,41.045215,-8.414758,41.042794,-8.4145,22468,0,69,149.0,41.045215,-8.414758,0
7,46607,0,41.368876,-8.749668,41.368876,-8.749665,46606,0,86,1274.0,41.368876,-8.749668,0
8,1818,0,38.6878,-9.146613,38.687737,-9.146721000000001,1822,0,69,48.0,38.6878,-9.146613,0
9,30411,0,41.200398,-8.655476,41.200373,-8.655484,30412,0,69,44.0,41.200398,-8.655476,0
10,34634,0,38.710728,-9.143221,38.711172,-9.142871000000001,7491,0,69,8973.0,38.710728,-9.143221,0
11,6735,0,41.501022,-8.32592,41.49901,-8.330926,6538,0,69,1756.0,41.501022,-8.32592,0
12,4660,0,38.702024,-9.420993,38.702026000000004,-9.420993,4659,0,69,757.0,38.702024,-9.420993,0
13,29946,2,40.757814,-7.332339,40.758661,-7.3339,30018,2,145,156.0,40.757814,-7.332339,2
14,26319,0,38.780153999999996,-9.216405,38.780164,-9.216424,26317,0,69,36.0,38.780153999999996,-9.216405,0
15,26317,0,38.780164,-9.216424,38.780153999999996,-9.216405,26319,0,69,35.0,38.780164,-9.216424,0
16,20763,0,40.679457,-7.914865,40.679455,-7.914860000000001,20762,0,69,39.0,40.679457,-7.914865,0
17,29615,2,40.606569,-7.760934,40.596949,-7.75865,29617,2,145,116.0,40.606569,-7.760934,2
18,31707,0,41.179162,-8.673731,41.17915900000001,-8.673733,31708,0,69,901.0,41.179162,-8.673731,0
19,1731,0,38.656493,-9.201572,38.656383,-9.201195,1734,0,69,496.0,38.656493,-9.201572,0
20,27178,0,38.830234999999995,-9.322303999999999,38.831972,-9.322954,27161,0,69,126.0,38.830234999999995,-9.322303999999999,0
21,5262,0,40.266904,-8.441194,40.266906,-8.441194,5263,0,69,2854.0,40.266904,-8.441194,0
22,6825,0,37.091352,-8.669985,37.094568,-8.672063,6828,0,69,1612.0,37.091352,-8.669985,0
23,1052,0,39.462952,-8.203688,39.461614000000004,-8.204528999999999,1049,0,69,5291.0,39.462952,-8.203688,0
24,20802,0,40.652584000000004,-7.888201,40.652584999999995,-7.888203999999999,20803,0,69,39.0,40.652584000000004,-7.888201,0
25,5433,0,40.214686,-8.432738,40.21468,-8.43267,5431,0,69,57.0,40.214686,-8.432738,0
26,20762,0,40.679455,-7.914860000000001,40.679457,-7.914865,20763,0,69,36.0,40.679455,-7.914860000000001,0
27,1040,0,39.464467,-8.213911,39.464915999999995,-8.214174,1042,0,89,147.0,39.464467,-8.213911,0
28,22373,0,41.10225,-8.466789,41.105893,-8.458711,22337,0,69,152.0,41.10225,-8.466789,0
29,20803,0,40.652584999999995,-7.888203999999999,40.652584000000004,-7.888201,20802,0,69,38.0,40.652584999999995,-7.888203999999999,0
30,20632,0,37.103874,-8.120486999999999,37.103875,-8.120486,20633,0,69,1521.0,37.103874,-8.120486999999999,0
31,19395,0,40.893957,-8.507750999999999,40.89702800000001,-8.505927999999999,49137,2,145,2683.0,40.89702800000001,-8.505927999999999,2
